CREATE TABLE `leads` (
  `Lead` varchar(4) DEFAULT NULL,
  `Qualifying Opportunity` varchar(22) DEFAULT NULL,
  `Last Name` varchar(13) DEFAULT NULL,
  `Company Name` varchar(35) DEFAULT NULL,
  `Created On` varchar(14) DEFAULT NULL,
  `Email Address` varchar(35) DEFAULT NULL,
  `Industry` varchar(19) DEFAULT NULL,
  `Website` varchar(29) DEFAULT NULL,
  `Owning User` varchar(11) DEFAULT NULL,
  `Lead Source` varchar(17) DEFAULT NULL,
  `Status Reason` varchar(20) DEFAULT NULL,
  `Mobile` varchar(12) DEFAULT NULL
) 


INSERT INTO `leads` (`Lead`, `Qualifying Opportunity`, `Last Name`, `Company Name`, `Created On`, `Email Address`, `Industry`, `Website`, `Owning User`, `Lead Source`, `Status Reason`, `Mobile`) VALUES
('4585', '26849', 'Reed', 'Total Yard Management', '29/4/21 00:03', 'DeneenRReed@gustr.com', 'Consulting', 'TraditionalHomeLoan.com', '1002', 'Web Research', 'Contact in Future', '630-387-1917'),
('4564', '26828', 'Hall', 'Chargepal', '29/4/21 00:03', 'MaryCHall@armyspy.com', 'Pharma', 'ForwardShop.com', '1008', 'Sales Mail Alias', 'Junk Lead', '860-253-6354'),
('4584', '26848', 'Johnson', 'Suncoast Video', '29/4/21 00:03', 'TracyRJohnson@rhyta.com', 'Manufacturing', 'GreenCounselor.com', '1011', 'Cold Call', 'Pre Qualified', '256-756-9499'),
('4586', '26850', 'Rosin', 'Handy City', '29/4/21 00:03', 'ChristopherTRosin@rhyta.com', 'Manufacturing', 'PureShades.com', '1011', 'Advertisement', 'Lost Lead', '303-873-5722'),
('4566', '26830', 'Huddleston', 'Sunny\'s Surplus', '29/4/21 00:03', 'CliffRHuddleston@armyspy.com', 'Pharma', 'BaldStore.com', '1010', 'Sales Mail Alias', 'Pre Qualified', '660-643-4947'),
('4568', '26832', 'Fields', 'All Wound Up', '29/4/21 00:03', 'RoyCFields@cuvox.de', 'Education', 'MysteryCD.com', '1007', 'Employee Referral', 'Lost Lead', '563-508-6582'),
('4572', '26836', 'Roye', 'Merry-Go-Round', '29/4/21 00:03', 'TerranceARoye@gustr.com', 'Communications', 'TooPopular.com', '1011', 'Public Relations', 'Contacted', '732-226-1891'),
('4574', '26838', 'Javier', 'Pender\'s Food Stores', '29/4/21 00:03', 'AdrianTJavier@gustr.com', 'Technology', 'FriendFail.com', '1007', 'Sales Mail Alias', 'Attempted to Contact', '507-417-6153'),
('4587', '26851', 'Ortiz', 'Wheels Discount Auto', '29/4/21 00:03', 'HesterWOrtiz@dayrep.com', 'Technology', 'TechnicalGaming.com', '1011', 'Public Relations', 'Contacted', '818-998-9966'),
('4576', '26840', 'Goodloe', 'Rack N Sack', '29/4/21 00:03', 'JeannetteOGoodloe@teleworm.us', 'Manufacturing', 'ShorterSale.com', '1004', 'Partner', 'Contact in Future', '314-682-7318'),
